Name,Age,Vintage,Distillery,Bottler,Price,ABV,Region,Availability,Country,Type,Subtype
"Corsair Wry Moon","N/A","N/A","Corsair","Corsair","$35","42.5","Tennessee","Specialty Stores","USA","American","Other",
"Glenfarclas 40","N/A","N/A","Glenfarclas","Glenfarclas","$480","46","Speyside","Better Stores","Scotland","Scotch","Single Malt",
"Glen Ord 1998 Signatory","11 yrs","1998","Glen Ord","Signatory","$100","60.3","Highland","Specialty Stores","Scotland","Scotch","Single Malt",
"Old Fitzgerald 12 (Stitzel-Weller)","N/A","N/A","Heaven Hill","United Distillers & Vintners","N/A","45","Kentucky","Collectors Only","USA","American","Bourbon",
"Glen Grant 1977 Scott's Selection","26 yrs","1977","Glen Grant","Scott's Selection","$135","55.4","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Glenfiddich Snow Phoenix","N/A","N/A","Glenfiddich","Glenfiddich","$86","47.6","Speyside","Better Stores","Scotland","Scotch","Single Malt",
"Ben Nevis 1990 Cadenhead's","13 yrs","1990","Ben Nevis","William Cadenhead","N/A","66.5","Highland","Specialty Stores","Scotland","Scotch","Single Malt",
"Jack Daniel's Silver Select","N/A","N/A","Jack Daniel's","Jack Daniel's","$79","50","Tennessee","Overseas Specialty","USA","American","Tennessee",
"A.H. Hirsch Finest Reserve 20","20 yrs","1974","Anchor Distilling Co.","Hue Family","N/A","45.8","Pennsylvania ","Collectors Only","USA","American","Bourbon",
"Glenlivet 1964 Cellar Collection","40 yrs","1964","Glenlivet","Glenlivet","$1950","45.1","Speyside","Better Stores","Scotland","Scotch","Single Malt",
"Famous Grouse Vintage 1990 ","13 yrs","1990","Famous Grouse","Famous Grouse","$32","40","N/A","Specialty Stores","Scotland","Scotch","Vatted Malt",
"Glen Elgin The Manager's Dram 16","N/A","N/A","Glen Elgin","Glen Elgin","N/A","60","Speyside","Collectors Only","Scotland","Scotch","Single Malt",
"Dalwhinnie 15","15 yrs","N/A","Dalwhinnie","Dalwhinnie","$48","43","Highland","Wide","Scotland","Scotch","Single Malt",
"Allt-A-Bhainne 1992 NC2","14 yrs","1992","Allt-A-Bhainne","Duncan Taylor","$60","46","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Laphroaig 1988 Old Malt Cask for PLOWED","18 yrs","1988","Laphroaig","Douglas Laing","N/A","61.9","Islay","Collectors Only","Scotland","Scotch","Single Malt",
"Bowmore 1991 Dewar Rattray (#2062)","15 yrs","1991","Bowmore","A.D. Rattray","$100","57.6","Islay","Specialty Stores","Scotland","Scotch","Single Malt",
"Lochnagar 1972 The Whisky Fair","37 yrs","1972","Lochnagar","Whisky Fair","N/A","50.7","Highland","Collectors Only","Scotland","Scotch","Single Malt",
"Braes of Glenlivet 1987 Cadenhead's","8 yrs","1987","Braes of Glenlivet","Cadenhead","N/A","62.6","Highland","Collectors Only","Scotland","Scotch","Single Malt",
"Old Forester Birthday Bourbon (2007)","14 yrs","1994","Brown-Forman","Brown-Forman","$45","47","Kentucky","Specialty Stores","USA","American","Bourbon",
"Macallan Gran Reserva 1982","N/A","1982","Macallan","Macallan","$600","40","Speyside","Overseas Specialty","Scotland","Scotch","Single Malt",
"Vintage Bourbon 17 (wheater)","17 yrs","N/A","Kentucky Bourbon Distillers","Kentucky Bourbon Distillers","$55","47","Kentucky","Better Stores","USA","American","Bourbon",
"The Speyside Region 1980 Glenhaven","16 yrs","1980","Glenhaven","Glenhaven","N/A","51","Speyside","Collectors Only","Scotland","Scotch","Single Malt",
"Longmorn 1992 Signatory Vintage","17 yrs","1992","Longmorn","Signatory","N/A","46","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Longmorn 1973 Hart Brothers","25 yrs","1973","Longmorn","Hart Brothers","$145","55.5","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Octomore 4.2 Comus","5 yrs","N/A","Octomore","Bruichladdich","$155","61","Islay","Overseas Specialty","Scotland","Scotch","Single Malt",
"Peat Reek","N/A","N/A","N/A","Blackadder","$70","61.8","Islay","Overseas Specialty","Scotland","Scotch","Single Malt",
"Knob Creek","9 yrs","N/A","Jim Beam","Jim Beam","$25","50","Kentucky","Wide","USA","American","Bourbon",
"Laphroaig 1974 (La Maison Du Whisky)","31 yrs","1974","Laphroaig","Laphroaig","N/A","49.7","Islay","Collectors Only","Scotland","Scotch","Single Malt",
"Aberlour 21","21 yrs","N/A","Aberlour","Aberlour","$145","43","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Clynelish 1982 SMWS","28 yrs","1982","Clynelish","The Scotch Malt Whisky Society","N/A","43.1","Highland","Collectors Only","Scotland","Scotch","Single Malt",
"David Nicholson 1843","7 yrs","N/A","Stitzel-Weller","David Sherman Corporation","N/A","50","Kentucky","Collectors Only","USA","American","Bourbon",
"Bunnahabhain 1979 Signatory","20 yrs","1979","Bunnahabhain","Signatory","N/A","57.7","Islay","Collectors Only","Scotland","Scotch","Single Malt",
"Old Fitzgerald 1849","N/A","N/A","Heaven Hill","Heaven Hill","$18","45","Kentucky","Wide","USA","American","Bourbon",
"Highland Park 1982 Park Ave for Whisky Live","23 yrs","1982","Highland Park","Highland Park","$200","57.9","Island","Specialty Stores","Scotland","Scotch","Single Malt",
"Port Ellen 1982 Connoisseurs Choice  25 yo","25 yrs","1982","Port Ellen","Gordon & MacPhail","N/A","40","Islay","Specialty Stores","Scotland","Scotch","Single Malt",
"Nikka Miyagikyo 1989  (La Maison Du Whisky) ","18 yrs","1989","Nikka","Nikka","$165","60","Japan","Overseas Specialty","Japan","Japanese","Single Malt",
"Glenfarclas "Reverence"","38 yrs","N/A","Glenfarclas","Duncan Taylor","N/A","51.5","Speyside","Collectors Only","Scotland","Scotch","Single Malt",
"Glen Ord 30","30 yrs","N/A","Glen Ord","Glen Ord","$250","58.7","Highland","Specialty Stores","Scotland","Scotch","Single Malt",
"Gentleman Jack","N/A","N/A","Jack Daniel's","Jack Daniel's","$25","40","Tennessee","Wide","USA","American","Tennessee",
"Old Pulteney WK499 Isabella Fortuna","N/A","N/A","Old Pulteney","Old Pulteney","$55","52","Highland","Overseas Wide","Scotland","Scotch","Single Malt",
"Port Charlotte An Turas Mor","N/A","N/A","Port Charlotte","Port Charlotte","$50","46","Islay","Overseas Wide","Scotland","Scotch","Single Malt",
"Macallan Batch 2 That Boutique-y Whisky Company","N/A","N/A","Macallan","That Boutique-y Whisky Company","$70","41.2","Speyside","Overseas Specialty","Scotland","Scotch","Single Malt",
