Name,Age,Vintage,Distillery,Bottler,Price,ABV,Region,Availability,Country,Type,Subtype
"Pebble Beach 12yo","12 yrs","N/A","N/A","Lombard","$70","43","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Ben Nevis 13 Port Wood Finish","13 yrs","1990","Ben Nevis","Ben Nevis","$110","61.1","Highland","Wide","Scotland","Scotch","Single Malt",
"Usquaebach Stone Flagon","N/A","N/A","Usquaebach","Cobalt Brands / Twenty Oaks Ltd","$95","43","N/A","Better Stores","Scotland","Scotch","Blend",
"Glenkinchie 10","10 yrs","N/A","Glenkinchie","Glenkinchie","N/A","43","Lowland","Wide","Scotland","Scotch","Single Malt",
"Nikka Yoichi 10","10 yrs","N/A","Nikka","Nikka","$70","45","Japan","Overseas Wide","Japan","Japanese","Single Malt",
"Bowmore 22 (Ceramic)","22 yrs","N/A","Bowmore","Bowmore","N/A","43","Islay","Collectors Only","Scotland","Scotch","Single Malt",
"Port Ellen 1982 Chieftain's Choice","25 yrs","1982","Port Ellen","Ian Macleod","$280","43","Islay","Specialty Stores","Scotland","Scotch","Single Malt",
"Laphroaig 10","10 yrs","N/A","Laphroaig","Laphroaig","$45","43","Islay","Wide","Scotland","Scotch","Single Malt",
"Evan Williams Single Barrel 1995","10 yrs","1995","Heaven Hill","Heaven Hill ","$28","43.3","Kentucky","Better Stores","USA","American","Bourbon",
"Aberlour A'Bunadh (Batch 12)","N/A","2004","Aberlour","Aberlour","N/A","60","Speyside","Better Stores","Scotland","Scotch","Single Malt",
"Buffalo Trace Single Oak Barrel 104","8 yrs","2003","Buffalo Trace","Buffalo Trace","$46","45","Kentucky","Specialty Stores","USA","American","Bourbon",
"Springbank Local Barley 1966/2000","34 yrs","1966","Springbank","Springbank","$900","55","Campbeltown","Collectors Only","Scotland","Scotch","Single Malt",
"Aberfeldy 1998 Signatory","10 yrs","1998","Aberfeldy","Signatory","$55","43","Highland","Wide","Scotland","Scotch","Single Malt",
"Strathisla 1967 Whisky Agency","40 yrs","1967","Strathisla","Whisky Agency","$235","47.6","Speyside","Overseas Specialty","Scotland","Scotch","Single Malt",
"Glenkinchie 12","12 yrs","N/A","Glenkinchie","Glenkinchie","$50","43","Lowland","Better Stores","Scotland","Scotch","Single Malt",
"Mackmyra Preludium 3","3 yrs","N/A","Mackmyra","Mackmyra","$80","52.2","N/A","Overseas Specialty","Sweden","World","Other",
"Wild Turkey 101","8 yrs","N/A","Wild Turkey","Wild Turkey","$32","50.5","Kentucky","Wide","USA","American","Bourbon",
"Glen Grant 1973 The Whisky Agency","36 yrs","53.6","Glen Grant","The Whisky Agency","$150","53.6","Speyside","Overseas Specialty","Scotland","Scotch","Single Malt",
"Glenfarclas Family Casks 1955","51 yrs","1955","Glenfarclas","Glenfarclas","$1000","46.1","Speyside","Overseas Specialty","Scotland","Scotch","Single Malt",
"Buffalo Trace Single Barrel (for The Wine Cellar)","N/A","N/A","Buffalo Trace","Buffalo Trace","$20","45","Kentucky","Specialty Stores","USA","American","Bourbon",
"Glendronach 1972 (Cask 710)","40 yrs","1972","Glendarroch","Glendronach","$740","49","Speyside","Overseas Specialty","Scotland","Scotch","Single Malt",
"Springbank SMWS 27.90","10 yrs","2000","Springbank","The Scotch Malt Whisky Society","$95","50.6","N/A","Collectors Only","Scotland","Scotch","Single Malt",
"Ledaig 1972 Alambic Classique","37 yrs","1972","Ledaig","Alambic Classique","$250","48.1","Island","Overseas Specialty","Scotland","Scotch","Single Malt",
"Caol Ila 1993 Murray McDavid","14 yrs","1993","Caol Ila","Murray McDavid","$74","46","Islay","Specialty Stores","Scotland","Scotch","Single Malt",
"Glenmorangie 12 Port Wood Finish","12 yrs","N/A","Glenmorangie","Glenmorangie","$60","43","Highland","Wide","Scotland","Scotch","Single Malt",
"Bushmills 16","16 yrs","N/A","Bushmill's","Bushmill's","$55","40","Ireland","Wide","Ireland","Irish","Single Malt",
"Glendronach 21 Parliament","21 yrs","N/A","Glendarroch","Glendronach","$120","48","Speyside","Better Stores","Scotland","Scotch","Single Malt",
"Buffalo Trace Single Oak Barrel 46","8 yrs","2003","Buffalo Trace","Buffalo Trace","$46","45","Kentucky","Specialty Stores","USA","American","Bourbon",
"Bruichladdich 10 (Late 1990's)","10 yrs","N/A","Bruichladdich","Bruichladdich","N/A","40","Islay","Wide","Scotland","Scotch","Single Malt",
"Balblair 1990 Dewar Rattray","16 yrs","1990","Balblair","A.D. Rattray","$80","62.4","Highland","Specialty Stores","Scotland","Scotch","Single Malt",
"Bowmore 1990 A.D. Rattray","20 yrs","1990","Bowmore","AD Rattray","$106","54","Islay","Specialty Stores","Scotland","Scotch","Single Malt",
"Henry McKenna Single Barrel 1994","10 yrs","1994","Heaven Hill","Heaven Hill","$35","50","Kentucky","Better Stores","USA","American","Bourbon",
"Glenlivet 18 ","18 yrs","N/A","Glenlivet","Glenlivet","$60","43","Speyside","Wide","Scotland","Scotch","Single Malt",
"Mitchells 12","12 yrs","N/A","N/A","Mitchells","N/A","43","Japan","Collectors Only","Scotland","Scotch","Blend",
"Old Charter 10 (Early/Mid 1970s)","10 yrs","N/A","Old Charter","Old Charter","N/A","43","Kentucky","Collectors Only","USA","American","Bourbon",
"Glendronach 12 Original Double Cask","12 yrs","N/A","Glendarroch","Glendronach","$45","40","Highland","Better Stores","Scotland","Scotch","Single Malt",
"Bruichladdich 2001 Quarts de Chaume Chenin Blanc K&L","9 yrs","2001","Bruichladdich","Bruichladdich","$73","59.8","Islay","Specialty Stores","Scotland","Scotch","Single Malt",
"Tomatin Decades","N/A","N/A","Tomatin","Tomatin","$90","0","Highland","Better Stores","Scotland","Scotch","Single Malt",
"Balvenie 10 Founder's Reserve","10 yrs","N/A","Balvenie","Balvenie","$42","40","Speyside","Wide","Scotland","Scotch","Single Malt",
"Ancient Age (1990's)","3.17 yrs","N/A","Buffalo Trace","Buffalo Trace","$15","40","Kentucky","Collectors Only","USA","American","Bourbon",
"Glendronach 12 Original","12 yrs","N/A","Glendarroch","Glendronach","$140","43","Speyside","Overseas Specialty","Scotland","Scotch","Single Malt",
"Dun Bheagan 8 Island","8 yrs","N/A","Dun Bheagan","Ian Macleod","$40","43","Island","Specialty Stores","Scotland","Scotch","Single Malt",
"Highland Park 1982 The Whisky Experience Ltd.","24 yrs","2007","Highland Park","The Whisky Experience Ltd.","$80","54.9","Island","Collectors Only","Scotland","Scotch","Single Malt",
"Suntory Reserve 10","10 yrs","N/A","Suntory","Suntory","N/A","43","Japan","Overseas Specialty","Japan","Japanese","Blend",
"James Alexander","N/A","N/A","James Alexander","Quality Spirits International","$22","40","N/A","Wide","Scotland","Scotch","Blend",
"Yamazaki 12","12 yrs","N/A","Yamazaki","Suntory","$40","43","Japan","Wide","Japan","Japanese","Single Malt",
"Springbank 1969 Signatory","27 yrs","1969","Springbank","Signatory","N/A","54","Campbeltown","Collectors Only","Scotland","Scotch","Single Malt",
"Bladnoch 1984 Scott's Selection","20 yrs","1984","Bladnoch","Scott's Selection","N/A","55.1","Lowland","Specialty Stores","Scotland","Scotch","Single Malt",
"Jack Daniel's Green Label","N/A","N/A","Jack Daniel's","Jack Daniel's","$19","40","Tennessee","Wide","USA","American","Tennessee",
"Glen Grant 16","16 yrs","N/A","Glen Grant","Glen Grant","$80","43","Speyside","Better Stores","Scotland","Scotch","Single Malt",
"Highland Park 25","25 yrs","N/A","Highland Park","Highland Park","$250","48.1","Island","Specialty Stores","Scotland","Scotch","Single Malt",
"Aberlour A'Bunadh (Batch 6)","N/A","N/A","Aberlour","Aberlour","N/A","59.6","Speyside","Collectors Only","Scotland","Scotch","Single Malt",
"McClelland's Speyside","N/A","N/A","McClelland's","McClelland's","$20","40","Speyside","Better Stores","Scotland","Scotch","Single Malt",
"Dallas Dhu 1975 Signatory (Cask 1899)","33 yrs","1975","Dallas Dhu","Signatory","$140","46.7","Speyside","Overseas Specialty","Scotland","Scotch","Single Malt",
"Peaty Five","5 yrs","N/A","N/A","Wilson & Morgan","N/A","43","Islay","Overseas Wide","Scotland","Scotch","Vatted Malt",
"Canadian Club 6yo","6 yrs","N/A","Canadian Club","Canadian Club","$12","40","Canada","Wide","Canada","Canadian","Blend",
"Longrow 10 (1994)","10 yrs","1994","Longmorn","Longrow","$80","46","Campbeltown","Wide","Scotland","Scotch","Single Malt",
"Buffalo Trace Single Oak Barrel 95","8 yrs","2003","Buffalo Trace","Buffalo Trace","$46","45","Kentucky","Specialty Stores","USA","American","Bourbon",
"Glenallachie 1972 DL Directors Cut","40 yrs","1972","Glenallachie","Douglas Laing","$290","56.8","Speyside","Overseas Specialty","Scotland","Scotch","Single Malt",
"Balmenach 1978 Cooper's Choice","18 yrs","1978","Balmenach","The Vintage Malt Whisky Co. Ltd.","N/A","43","Speyside","Collectors Only","Scotland","Scotch","Single Malt",
"Karuizawa Noh 1983 #7576","28 yrs","1983","Karuizawa","Number One Drinks Company","N/A","57.2","Japan","Collectors Only","Japan","Japanese","Single Malt",
"Glenugie 1980 SMWS 99.12","30 yrs","1980","Glenugie","The Scotch Malt Whisky Society","$185","46.7","Highland","Specialty Stores","Scotland","Scotch","Single Malt",
"Dailuaine 1974 Berry's Own","30 yrs","1974","Dailuaine","Berry Bros & Rudd","N/A","46","Speyside","Overseas Specialty","Scotland","Scotch","Single Malt",
"Strathisla 8 (1970s/80s)","8 yrs","N/A","Strathisla","Gordon & MacPhail","N/A","40","Speyside","Collectors Only","Scotland","Scotch","Single Malt",
"Ardbeg 1994 Murray McDavid","14 yrs","1994","Ardbeg","Murray McDavid","N/A","55.3","Islay","Collectors Only","Scotland","Scotch","Single Malt",
"Aberlour 16 Loch Chaim","16 yrs","1989","Aberlour","Glen Alden Dist. Co.","$80","43","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Tamdhu 1969 Duncan Taylor ","34 yrs","1969","Tamdhu","Duncan Taylor ","$220","40.25","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Chivas Century of Malts","N/A","N/A","Chivas","Chivas","$55","43","N/A","Specialty Stores","Scotland","Scotch","Vatted Malt",
"Edradour 1997","10 yrs","1997","Edradour","Edradour","$70","46","Highland","Specialty Stores","Scotland","Scotch","Single Malt",
"Old Taylor 6 (1970's)","6 yrs","N/A","Jim Beam","Old Taylor Distillery","N/A","40","Kentucky","Collectors Only","USA","American","Bourbon",
"Port Ellen 1977 Old Malt Cask","23 yrs","1977","Port Ellen","Douglas Laing","N/A","50","Islay","Collectors Only","Scotland","Scotch","Single Malt",
"Glenrothes 1969 Blackaddder","33 yrs","1969","Glenrothes","Blackadder","N/A","53.8","Speyside","Collectors Only","Scotland","Scotch","Single Malt",
"Laphroaig 1998 Boisdale","N/A","1998","Laphroaig","Berry Bros & Rudd","$60","46","Islay","Overseas Specialty","Scotland","Scotch","Single Malt",
"Mellow Corn Corn Whiskey","N/A","N/A","Heaven Hill","Heaven Hill","$14","50","Kentucky","Better Stores","USA","American","Corn",
"Glencadam 1990 A.D. Rattray","17 yrs","1990","Glencadam","Glencadam","$90","58.4","Highland","Specialty Stores","Scotland","Scotch","Single Malt",
"Aberlour A'Bunadh (Batch 18)","N/A","N/A","Aberlour","Aberlour","$65","59.7","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Bowmore 1968 Celtic Heartlands","35 yrs","1968","Bowmore","Murray McDavid ","N/A","40.6","Islay","Collectors Only","Scotland","Scotch","Single Malt",
"Bruichladdich 27 Stillman's Dram","27 yrs","N/A","Bruichladdich","Bruichladdich","N/A","45","Islay","Collectors Only","Scotland","Scotch","Single Malt",
"Amrut Peated","N/A","N/A","Amrut","Amrut","$70","46","N/A","Specialty Stores","India","World","Other",
"Lagavulin 12 (2010)","12 yrs","N/A","Lagavulin","Lagavulin","$100","56.5","Islay","Better Stores","Scotland","Scotch","Single Malt",
"Tormore 1990 Signatory","17 yrs","1990","Tormore","Signatory","$68","43","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Charbay Whiskey Release II","6 yrs","1999","Charbay","Charbay ","$325","55","California","Specialty Stores","USA","American","Other",
"Connemara 12 Peated Single Malt","12 yrs","N/A","Concannon","Concannon","$90","40","Ireland","Wide","Ireland","Irish","Single Malt",
"Convalmore 1984 Gordon & MacPhail Cask 1798","22 yrs","1984","Convalmore","Gordon & MacPhail","$150","57.1","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Caol Ila 1998 Gordon & MacPhail Private Collection","10 yrs","1998","Caol Ila","Gordon & MacPhail","$70","45","Islay","Specialty Stores","Scotland","Scotch","Single Malt",
"Dalmore 1978 Sherry Finesse","N/A","N/A","Dalmore","Dalmore","$785","46","Highland","Specialty Stores","Scotland","Scotch","Single Malt",
"BenRiach 15 Madeira Finish","15 yrs","N/A","BenRiach","BenRiach","$90","46","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Brora 30 (Bottled 2009)","30 yrs","N/A","Brora","Brora","$370","53.2","Highland","Specialty Stores","Scotland","Scotch","Single Malt",
"Elijah Craig 12","12 yrs","N/A","Heaven Hill ","Heaven Hill ","$23","47","Kentucky","Better Stores","USA","American","Bourbon",
"Glengarioch 1988 Whisky Galore","15 yrs","1988","Glengarioch","Whisky Galore","$75","46","Highland","Specialty Stores","Scotland","Scotch","Single Malt",
"Redbreast 15","15 yrs","N/A","Redbreast","Irish Distillers","$70","46","Ireland","Wide","Ireland","Irish","Blend",
"Old Smuggler","N/A","N/A","N/A","Old Smuggler","$19","40","N/A","Wide","Scotland","Scotch","Blend",
"Old Charter Proprietor's Reserve 13 Louisville ","13 yrs","N/A","Old Charter","Old Charter","$50","45","N/A","Collectors Only","USA","American","Bourbon",
"Port Ellen 22yr Premier Barrel","22 yrs","N/A","Port Ellen","Douglas Laing","$230","46","Islay","Specialty Stores","Scotland","Scotch","Single Malt",
"Abraham Bowman Bourbon (Barrel 1)","18 yrs","N/A","Abraham Bowman","Abraham Bowman","$70","68.95","Virginia","Specialty Stores","USA","American","Bourbon",
"Laphroaig 1987 Old Malt Cask","17 yrs","1987","Laphroaig","Douglas Laing","$115","50","Islay","Specialty Stores","Scotland","Scotch","Single Malt",
"Scapa 16","16 yrs","N/A","Scapa","Scapa","$75","40","Island","Better Stores","Scotland","Scotch","Single Malt",
"Talisker "Talimburg" 1972 Old Malt Cask","32 yrs","1972","Talisker","Douglas Laing","$350","45.2","Island","Overseas Specialty","Scotland","Scotch","Single Malt",
"Pittyvaich 1979 Duncan Taylor ROR","28 yrs","1979","Pittyvaich","Duncan Taylor","$140","52.7","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Port Ellen 1982 McGibbon's Provenance","23 yrs","1982","Port Ellen","Douglas Laing","$200","0","Islay","Specialty Stores","Scotland","Scotch","Single Malt",
"Brora 1982 Premier Barrel","23 yrs","1982","Brora","Douglas Laing","$215","46","Highland","Specialty Stores","Scotland","Scotch","Single Malt",
"Hazelwood Reserve 17","17 yrs","1990","Hazelburn","Hazelwood","$900","52.5","Speyside","Overseas Specialty","Scotland","Scotch","Single Malt",
"Hogshead Pure Malt (Pre 2009)","N/A","N/A","Hoghead","Hoghead","$35","43","N/A","Better Stores","Scotland","Scotch","Vatted Malt",
"Black Maple Hill 23 Single Barrel Rye ","23 yrs","N/A","NDP","Kentucky Bourbon Distillers","N/A","47.5","Kentucky","Collectors Only","USA","American","Rye",
"BenRiach 15 Pedro Ximenez Finish","15 yrs","N/A","BenRiach","BenRiach","$90","46","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Bunnahabhain 1967 Whisky Agency Private Stock","43 yrs","1967","Bunnahabhain","Whisky Agency","$240","40.5","Islay","Overseas Specialty","Scotland","Scotch","Single Malt",
"Clynelish 14","14 yrs","N/A","Clynelish","Clynelish","$45","46","Highland","Wide","Scotland","Scotch","Single Malt",
"Ardbeg 1991 Murray McDavid","9 yrs","1991","Ardbeg","Murray McDavid","$230","46","Islay","Overseas Specialty","Scotland","Scotch","Single Malt",
"Caol Ila 1984 Jewels of Scotland","20 yrs","1984","Caol Ila","Lombard","$120","50","Islay","Specialty Stores","Scotland","Scotch","Single Malt",
"Glendronach 18 Allardice","18 yrs","N/A","Glendarroch","Glendronach","$120","46","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Laphroaig Cairdeas 2012","N/A","N/A","Laphroaig","Laphroaig","$90","51.2","Islay","Better Stores","Scotland","Scotch","Single Malt",
"Ardbeg 1975","N/A","1975","Ardbeg","Ardbeg","N/A","43","Islay","Collectors Only","Scotland","Scotch","Single Malt",
"WhistlePig 10 yo Rye","10 yrs","N/A","N/A","WhistlePig Farm/Goamericago Beverages","$70","50","Canada","Better Stores","Canada","Canadian","Other",
"Port Ellen 1982 Nectar of the Daily Drams","27 yrs","1982","Port Ellen","Daily Dram","$230","53","Islay","Overseas Specialty","Scotland","Scotch","Single Malt",
"Dallas Dhu 12","12 yrs","N/A","Dallas Dhu","Gordon & MacPhail","N/A","40","Speyside","Collectors Only","Scotland","Scotch","Single Malt",
"Glenfarclas 1965 "Probably Speyside's Finest Distillery" DL Platinum Old & Rare","46 yrs","1965","Glenfarclas","Douglas Laing","$400","53.6","Speyside","Overseas Specialty","Scotland","Scotch","Single Malt",
"Bowmore 25 (c. 2000 ceramic)","25 yrs","N/A","Bowmore","Bowmore","N/A","43","Islay","Collectors Only","Scotland","Scotch","Single Malt",
"Glenisla 1977 Signatory","29 yrs","1977","Glenisla","Glenisla","$400","50","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"North Port 1971 Rare Malts","23 yrs","1971","North Port","North Port","N/A","54.7","Highland","Collectors Only","Scotland","Scotch","Single Malt",
"Springbank 1998 K&L","13 yrs","1998","Springbank","Springbank","$95","56.9","Campbeltown","Specialty Stores","Scotland","Scotch","Single Malt",
"Ardbeg Committee Reserve","N/A","2002","Ardbeg","Ardbeg","N/A","55.3","Islay","Collectors Only","Scotland","Scotch","Single Malt",
"Glenfarclas 1962 Family Cask (no. 2639)","49 yrs","1962","Glenfarclas","Glenfarclas","$960","48.9","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Buffalo Trace Single Oak Barrel 10","8 yrs","2003","Buffalo Trace","Buffalo Trace","$46","45","Kentucky","Specialty Stores","USA","American","Bourbon",
"High West 16","16 yrs","N/A","High West","High West","$90","46","Kentucky","Specialty Stores","USA","American","Rye",
"Glenrothes 1970 Whisky Agency","39 yrs","1970","Glenrothes","The Whisky Agency","$185","48.1","Speyside","Overseas Specialty","Scotland","Scotch","Single Malt",
"Buffalo Trace Single Oak Barrel 42","8 yrs","2003","Buffalo Trace","Buffalo Trace","$46","45","Kentucky","Specialty Stores","USA","American","Bourbon",
"Glen Flagler 1970 Signatory ","N/A","N/A","Glen Flagle","Signatory ","N/A","50.1","Lowland","Collectors Only","Scotland","Scotch","Single Malt",
"Laphroaig 1989 Old Malt Cask","21 yrs","1989","Laphroaig","Douglas Laing","N/A","57.9","Islay","Collectors Only","Scotland","Scotch","Single Malt",
"Glengoyne 1972 "Spring"","26 yrs","1972","Glengoyne","Glengoyne","$220","55","Highland","Overseas Specialty","Scotland","Scotch","Single Malt",
"Old Grand Dad Bottle in Bond (1980's)","N/A","N/A","Jim Beam","Old Grand Dad Distillery","N/A","50","N/A","Collectors Only","USA","American","Bourbon",
"Evan Williams Green","N/A","N/A","Heaven Hill","Heaven Hill","$11","40","Kentucky","Wide","USA","American","Bourbon",
"Talisker 20 1981 (UK)","20 yrs","1981","Talisker","Talisker","N/A","62","Highland","Collectors Only","Scotland","Scotch","Single Malt",
"Red Hook Rye Barrel 4 (LeNell's)","N/A","N/A","Kentucky Bourbon Distillers","Kentucky Bourbon Distillers","N/A","62","Kentucky","Collectors Only","USA","American","Rye",
"Ardbeg Provenance","24 yrs","1974","Ardbeg","Ardbeg","N/A","54.7","Islay","Collectors Only","Scotland","Scotch","Single Malt",
"Dailuaine SMWS 41.39","16 yrs","1990","Dailuaine","The Scotch Malt Whisky Society","$115","60.4","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Benrinnes 1984 Chieftain's","26 yrs","1984","Benrinnes","Ian Macleod","$170","58.1","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Hudson Manhattan Rye","N/A","N/A","Tuthilltown Spirits","Tuthilltown Spirits","$40","46","New York","Specialty Stores","USA","American","Rye",
"Thomas H. Handy Sazerac (2010)","6.25 yrs","2004","Buffalo Trace","Buffalo Trace","$70","63.45","Kentucky","Wide","USA","American","Bourbon",
"Macallan 28yr Douglas Laing Premier Barrel","28 yrs","N/A","Macallan","Douglas Laing","$340","46","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Laphroaig 1990 Hart Brothers","18 yrs","1990","Laphroaig","Hart Brothers","$140","46","Islay","Specialty Stores","Scotland","Scotch","Single Malt",
"Glenglassaugh 1976 Dormant Distillery Company","28 yrs","1976","Glenglassaugh","Dormant Distillery Company","N/A","50.8","Speyside","Overseas Specialty","Scotland","Scotch","Single Malt",
"Old Fitzgerald Bottled in Bond","4 yrs","N/A","Heaven Hill","Heaven Hill","$15","50","Kentucky","Wide","USA","American","Bourbon",
"Evan Williams 23","23 yrs","N/A","Heaven Hill","Heaven Hill","$150","53.5","Kentucky","Wide","USA","American","Bourbon",
"Laphroaig PX Cask","N/A","N/A","Laphroaig","Laphroaig","$92","48","Islay","Specialty Stores","Scotland","Scotch","Single Malt",
"Port Ellen 1982 Connoisseurs Choice 27 yo","27 yrs","1982","Port Ellen","Gordon & MacPhail","N/A","43","Islay","Specialty Stores","Scotland","Scotch","Single Malt",
"Glen Grant 1984 SMWS 9.57","25 yrs","1984","Glen Grant","The Scotch Malt Whisky Society","$155","0","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Hirsch 8 Canadian Rye","8 yrs","N/A","Hirsch","Hirsch (Glenora)","$40","43","Nova Scotia","Specialty Stores","Canada","Canadian","Other",
"William Larue Weller (2006)","15 yrs","1991","Buffalo Trace","Buffalo Trace","N/A","64.95","Kentucky","Collectors Only","USA","American","Bourbon",
"Tomatin 15","15 yrs","N/A","Tomatin","Tomatin","$45","43","Highland","Wide","Scotland","Scotch","Single Malt",
"Ardmore 1992 Single Malts of Scotland","19 yrs","1992","Ardmore","Speciality Drinks Ltd","$85","49.3","Speyside","Overseas Specialty","Scotland","Scotch","Single Malt",
"Lagavulin 30","30 yrs","1976","Lagavulin","Lagavulin","N/A","52.6","Islay","Collectors Only","Scotland","Scotch","Single Malt",
"Glenburgie 1985 Duncan Taylor","26 yrs","1985","Glenburgie","Duncan Taylor","$150","55.3","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Laphroaig 1990 Silver Seal","21 yrs","1990","Laphroaig","Silver Seal","N/A","57.7","Islay","Collectors Only","Scotland","Scotch","Single Malt",
"Bladnoch 15","15 yrs","N/A","Bladnoch","Bladnoch","$65","55","Lowland","Overseas Wide","Scotland","Scotch","Single Malt",
"Connemara Bog Oak","N/A","N/A","Concannon","Concannon","$350","57.5","Ireland","Overseas Specialty","Ireland","Irish","Single Malt",
"Invergordon 1972 Duncan Taylor","38 yrs","1972","Invergordon","Duncan Taylor","$150","47.8","Highland","Specialty Stores","Scotland","Scotch","Grain",
"Port Ellen 1982 Sovereign K&L","30 yrs","1982","Port Ellen","Hunter Hamilton Co.","$600","51.9","Islay","Specialty Stores","Scotland","Scotch","Single Malt",
"Buffalo Trace Single Oak Barrel 61","8 yrs","2003","Buffalo Trace","Buffalo Trace","$46","45","Kentucky","Specialty Stores","USA","American","Bourbon",
"William Larue Weller (2007)","7 yrs","2007","Buffalo Trace","Buffallo Trace","$70","58.95","N/A","Better Stores","USA","American","Bourbon",
"Mortlach 1991 Moon Import","N/A","1991","Morlach","Moon Import","$115","46","Speyside","Overseas Specialty","Scotland","Scotch","Single Malt",
"Dunlivet","N/A","N/A","Dunlivet","Unknown","$8","40","N/A","Wide","Scotland","Scotch","Blend",
"Glenglassaugh 1976 Dewar Rattray","30 yrs","1976","Glenglassaugh","Dewar Rattray","$200","51.2","Speyside","Better Stores","Scotland","Scotch","Single Malt",
"Glenfarclas 1979 Family Casks Release III","N/A","1979","Glenfarclas","Glenfarclas","$250","50.6","Speyside","Overseas Specialty","Scotland","Scotch","Single Malt",
"Benromach 10","10 yrs","N/A","Benromach","Benromach","$40","43","Speyside","Better Stores","Scotland","Scotch","Single Malt",
"Millburn 1969 Cadenhead's","22 yrs","1969","Millburn","Cadenhead","N/A","51.7","Highland","Collectors Only","Scotland","Scotch","Single Malt",
"Strathisla 12","12 yrs","N/A","Strathisla","Strathisla","$45","43","Speyside","Wide","Scotland","Scotch","Single Malt",
"Classic of Islay 26","26 yrs","N/A","Lagavulin","Classic of Islay","$75","46","Islay","Specialty Stores","Scotland","Scotch","Single Malt",
"Millstone Peated","5 yrs","N/A","Zuidam","Zuidam","$65","40","N/A","Overseas Wide","Netherlands","World","Single Malt",
"Bruichladdich Legacy 3","35 yrs","N/A","Bruichladdich","Bruichladdich","$450","40.7","Islay","Specialty Stores","Scotland","Scotch","Single Malt",
"Scapa 1989 Signatory","11 yrs","1989","Scapa","Signatory","N/A","43","Highland","Collectors Only","Scotland","Scotch","Single Malt",
"Caol Ila 1979 Malts of Scotland","33 yrs","1979","Caol Ila","Malts of Scotland","N/A","52.3","Islay","Overseas Specialty","Scotland","Scotch","Single Malt",
"Glen Mhor 1982 A.D. Rattray","27 yrs","1982","Glen Mhor","A.D. Rattray","$140","54.2","Highland","Specialty Stores","Scotland","Scotch","Single Malt",
"Tobermory 1995 Hart Brothers","13 yrs","1995","Tobermory","Hart Brothers","$70","46","Island","Better Stores","Scotland","Scotch","Single Malt",
"Bruichladdich 3D3 (3rd Edition)","N/A","N/A","Bruichladdich","Bruichladdich","$68","46","Islay","Specialty Stores","Scotland","Scotch","Single Malt",
"Bowmore Springtide","N/A","N/A","Bowmore","Bowmore","$120","59.4","Islay","Overseas Specialty","Scotland","Scotch","Single Malt",
"Glenfarclas 40 year 105","40 yrs","1968","Glenfarclas","Glenfarclas","$750","60","Speyside","Overseas Specialty","Scotland","Scotch","Single Malt",
"Balvenie Vintage Cask 1966 (4289)","30 yrs","1966","Balvenie","Balvenie","N/A","45.5","Speyside","Collectors Only","Scotland","Scotch","Single Malt",
"Balvenie 15 Single Barrel Cask 10109 ","15 yrs","1990","Balvenie","Balvenie","$55","47.8","Speyside","Better Stores","Scotland","Scotch","Single Malt",
"Lagavulin 1990 Distiller's Edition","16 yrs","1990","Lagavulin","Lagavulin","$120","43","Islay","Overseas Specialty","Scotland","Scotch","Single Malt",
"Strathisla 1963 Gordon & MacPhail","44 yrs","1963","Strathisla","Gordon & MacPhail","N/A","40","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Glenlivet (Minmore) 1972 Cadenhead","24 yrs","1972","Glenlivet","Cadenhead","N/A","51.8","Speyside","Collectors Only","Scotland","Scotch","Single Malt",
"Glen Scotia 17","17 yrs","N/A","Glen Scotia","Glen Scotia","$85","43","Campbeltown","Specialty Stores","Scotland","Scotch","Single Malt",
"Bruichladdich Italian Collection 14yr Sassicaia","14 yrs","1993","Bruichladdich","Bruichladdich","$84","46","Islay","Specialty Stores","Scotland","Scotch","Single Malt",
"Macallan 1993 Old Malt Cask Rum Finish","13 yrs","1993","Macallan","Douglas Laing","$150","50","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Ben Nevis 1992 Signatory 16yo","16 yrs","1992","Ben Nevis","Signatory","$162","54.6","Highland","Specialty Stores","Scotland","Scotch","Single Malt",
"Wasmund's","1/3 yrs","N/A","Copper Fox","Copper Fox","$35","43","Virginia","Specialty Stores","USA","American","Single Malt",
